STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,EMXP,PRCP,TAVG,TMAX,TMIN
USC00083207,"FORT PIERCE, FL US",27.4419,-80.3508,7.6,2013-12-01,,26.4,82.1,21.4,25.4,17.5
USC00080414,"BAHIA HONDA STATE PARK, FL US",24.65512,-81.27998000000001,1.8,2013-12-01,,50.8,89.7,23.9,26.2,21.7
USC00081306,"CAPE FLORIDA, FL US",25.6719,-80.1566,1.8,2013-12-01,,21.3,54.2,24.8,27.6,21.9
US1FLLK0003,"GROVELAND 1.7 E, FL US",28.565,-81.824,34.1,2013-12-01,,8.4,16.9,,,
US1FLLK0005,"MOUNT PLYMOUTH 0.2 WSW, FL US",28.799,-81.535,27.4,2013-12-01,,11.2,29.5,,,
US1FLCY0001,"FLEMING ISLAND 1.7 SE, FL US",30.0785,-81.6956,3.0,2013-12-01,,,47.5,,,
US1FLSL0013,"PORT ST. LUCIE 2.4 SSW, FL US",27.249421999999996,-80.371835,11.0,2013-12-01,,18.8,28.6,,,
US1FLBV0020,"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,6.1,2013-12-01,,13.7,32.4,,,
USC00084050,"HOLLYWOOD, FL US",26.0281,-80.1341,2.7,2013-12-01,,32.5,68.1,24.0,27.1,20.9
US1FLCY0005,"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,57.9,2013-12-01,,42.7,90.0,,,
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.1828,-81.0483,9.4,2013-12-01,2.6,20.3,43.0,18.9,24.2,13.6
USC00087205,"PLANT CITY, FL US",28.020840000000003,-82.13855,33.5,2013-12-01,,17.8,38.2,20.1,26.0,14.3
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.495,-81.6936,7.9,2013-12-01,2.7,9.1,21.8,15.5,21.8,9.2
US1FLDV0033,"JACKSONVILLE 10.0 WSW, FL US",30.304370000000002,-81.82263,26.5,2013-12-01,,26.4,41.9,,,
