STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,EMXP,PRCP,TAVG,TMAX,TMIN
USC00083207,"FORT PIERCE, FL US",27.4419,-80.3508,7.6,2011-05-01,,10.4,16.3,24.7,29.4,20.0
USC00080414,"BAHIA HONDA STATE PARK, FL US",24.65512,-81.27998000000001,1.8,2011-05-01,,2.5,4.6,27.5,30.4,24.7
USC00081306,"CAPE FLORIDA, FL US",25.6719,-80.1566,1.8,2011-05-01,,82.3,143.6,26.7,29.1,24.3
US1FLLK0003,"GROVELAND 1.7 E, FL US",28.565,-81.824,34.1,2011-05-01,,15.2,26.1,,,
US1FLLK0005,"MOUNT PLYMOUTH 0.2 WSW, FL US",28.799,-81.535,27.4,2011-05-01,,43.2,62.0,,,
USR0000FMER,"MERRITT ISLAND FLORIDA, FL US",28.6408,-80.7308,9.1,2011-05-01,,,,23.6,29.7,17.5
US1FLSL0013,"PORT ST. LUCIE 2.4 SSW, FL US",27.249421999999996,-80.371835,11.0,2011-05-01,,16.8,31.3,,,
US1FLBV0020,"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,6.1,2011-05-01,,0.5,0.8,,,
USC00084050,"HOLLYWOOD, FL US",26.0281,-80.1341,2.7,2011-05-01,,13.0,31.5,26.1,29.4,22.7
US1FLCY0005,"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,57.9,2011-05-01,,64.0,71.4,,,
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.1828,-81.0483,9.4,2011-05-01,2.9,15.5,16.6,24.3,30.1,18.5
USC00087205,"PLANT CITY, FL US",28.020840000000003,-82.13855,33.5,2011-05-01,,33.0,83.5,25.3,32.0,18.6
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.495,-81.6936,7.9,2011-05-01,2.8,33.3,52.1,23.3,30.8,15.8
US1FLDV0033,"JACKSONVILLE 10.0 WSW, FL US",30.304370000000002,-81.82263,26.5,2011-05-01,,30.2,45.7,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06222,-81.75417,44.5,2011-05-01,3.0,17.8,44.5,26.4,32.6,20.2
USW00012832,"APALACHICOLA AIRPORT, FL US",29.73333,-85.03333,5.8,2011-05-01,,,,22.7,28.9,16.6
US1FLLN0025,"TALLAHASSEE 3.5 N, FL US",30.508165999999996,-84.283457,29.9,2011-05-01,,,26.7,,,
US1FLPK0034,"LAKELAND 6.9 SW, FL US",27.960835999999997,-81.99560799999999,32.9,2011-05-01,,22.4,40.4,,,
USC00086999,"PENSACOLA 7 NNE, FL US",30.5301,-87.198847,34.7,2011-05-01,,14.7,39.6,23.5,29.2,17.8
USC00084731,"LAKE CITY 2 E, FL US",30.1852,-82.5941,59.4,2011-05-01,,26.7,26.7,23.4,31.4,15.4
US1FLPK0032,"LAKELAND 5.3 WNW, FL US",28.06498,-82.04227,34.1,2011-05-01,,37.3,70.1,,,
USC00085667,"MIAMI NWSFO, FL US",25.7553,-80.3836,4.3,2011-05-01,,20.8,34.3,26.6,31.1,22.1
USC00086315,"NORTH MIAMI BEACH NUMBER 2, FL US",25.95,-80.2158,3.0,2011-05-01,,45.7,87.4,26.3,30.2,22.4
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.401390000000003,-82.55861,8.5,2011-05-01,3.8,42.7,50.1,25.0,30.3,19.6
USW00012838,"MELBOURNE INTERNATIONAL AIRPORT, FL US",28.1011,-80.6439,8.2,2011-05-01,4.0,8.1,12.8,25.1,30.1,20.1
US1FLBW0016,"FORT LAUDERDALE 1.9 SSW, FL US",26.11786,-80.152112,0.9,2011-05-01,,29.2,60.7,,,
US1FLAL0007,"GAINESVILLE 8.1 SW, FL US",29.5908,-82.4314,36.9,2011-05-01,,48.0,57.2,,,
US1FLSL0022,"PORT ST. LUCIE 2.4 N, FL US",27.313837,-80.356329,4.9,2011-05-01,,12.2,32.8,,,
US1FLLN0031,"TALLAHASSEE 14.2 NE, FL US",30.603299,-84.112587,43.9,2011-05-01,,28.7,44.0,,,
USC00088620,"STUART, FL US",27.1897,-80.2397,4.0,2011-05-01,,20.1,33.8,25.6,29.9,21.3
USR0000FLSU,"LOWER SUWANNEE FLORIDA, FL US",29.3731,-83.0344,4.6,2011-05-01,,,,23.0,30.6,15.4
USC00085076,"LISBON, FL US",28.8728,-81.7844,20.7,2011-05-01,,45.7,59.9,24.9,31.8,18.0
USW00012842,"TAMPA INTERNATIONAL AIRPORT, FL US",27.961940000000002,-82.5403,5.8,2011-05-01,2.9,6.9,17.8,26.2,31.2,21.3
USC00081276,"CANAL POINT USDA, FL US",26.8639,-80.6256,9.1,2011-05-01,,,26.7,25.4,31.4,19.3
US1FLHB0033,"BLOOMINGDALE 7.6 ESE, FL US",27.828269,-82.148655,32.0,2011-05-01,,28.2,64.3,,,
USW00012885,"FORT LAUDERDALE EXECUTIVE AIRPORT, FL US",26.196939999999998,-80.17083000000001,4.3,2011-05-01,3.9,27.2,49.4,27.3,31.6,23.1
USC00088942,"TITUSVILLE, FL US",28.6243,-80.817,4.9,2011-05-01,,19.1,40.9,25.4,30.7,20.0
USW00012882,"MIAMI OPA LOCKA AIRPORT, FL US",25.90694,-80.28028,3.0,2011-05-01,3.8,20.6,49.1,26.7,31.1,22.2
US1FLPS0007,"ZEPHYRHILLS 2.6 NNW, FL US",28.269759999999998,-82.194125,47.2,2011-05-01,,24.4,34.8,,,
US1FLPS0008,"ZEPHYRHILLS 0.9 ENE, FL US",28.241976,-82.163851,32.0,2011-05-01,,21.3,28.4,,,
US1FLMN0006,"CUDJOE KEY 0.9 SSW, FL US",24.659425,-81.506312,4.9,2011-05-01,,4.3,12.2,,,
US1FLHB0040,"UNIVERSITY WEST 2.0 WNW, FL US",28.082426,-82.464012,25.9,2011-05-01,,15.0,16.0,,,
US1FLHL0001,"LAKE PLACID 9.4 SE, FL US",27.2054,-81.2574,11.9,2011-05-01,,11.9,26.9,,,
US1FLBV0001,"PALM BAY 2.6 SSE, FL US",27.951176,-80.64202,11.9,2011-05-01,,15.0,18.6,,,
US1FLBV0002,"PALM SHORES 1.4 W, FL US",28.18825,-80.680461,11.9,2011-05-01,,8.9,14.8,,,
USR0000FRAC,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9,2.1,2011-05-01,,,,25.4,33.9,16.9
US1FLOK0001,"NICEVILLE 3.6 SE, FL US",30.49385,-86.43979399999999,11.0,2011-05-01,,28.4,36.6,,,
USR0000FSTM,"ST. MARKS EAST FLORIDA, FL US",30.1333,-84.1333,4.6,2011-05-01,,,,22.4,29.0,15.8
USC00087982,"SANFORD, FL US",28.8147,-81.2778,3.7,2011-05-01,,9.7,16.1,25.6,32.2,19.1
US1FLPK0018,"LAKELAND HIGHLANDS 0.3 SE, FL US",27.956999999999997,-81.946,70.1,2011-05-01,,39.1,43.7,,,
US1FLOS0001,"POINCIANA PLACE 2.6 NNW, FL US",28.193045,-81.49972199999999,27.1,2011-05-01,,47.0,53.0,,,
USC00087304,"PORT SALERNO 5 W, FL US",27.0997,-80.2627,3.7,2011-05-01,,62.2,89.6,24.8,31.1,18.5
USW00012812,"PUNTA GORDA CHARLOTTE CO AIRPORT, FL US",26.91722,-81.99139,7.6,2011-05-01,3.2,7.1,17.9,25.8,32.9,18.7
US1FLPS0010,"DADE CITY 1.8 WSW, FL US",28.352214,-82.22250799999999,40.2,2011-05-01,,21.8,31.7,,,
US1FLPB0012,"ABERDEEN 4.2 NNW, FL US",26.607032,-80.172049,11.9,2011-05-01,,13.2,33.2,,,
US1FLDV0013,"NEPTUNE BEACH 0.5 NNW, FL US",30.321562,-81.395639,,2011-05-01,,24.1,28.2,,,
USW00012850,"KEY WEST NAS, FL US",24.58333,-81.68333,1.8,2011-05-01,4.2,6.9,13.6,28.3,31.5,25.1
US1FLMD0003,"LINDGREN ACRES 0.5 WSW, FL US",25.6682,-80.4087,7.9,2011-05-01,,17.3,43.1,,,
USC00086414,"OCALA, FL US",29.1638,-82.0777,22.9,2011-05-01,,23.6,41.3,24.9,33.1,16.6
US1FLHB0004,"VALRICO 2.2 SE, FL US",27.9125,-82.2261,32.9,2011-05-01,,36.6,59.4,,,
US1FLIR0022,"SEBASTIAN 1.7 SSE, FL US",27.763426000000003,-80.47419599999999,6.1,2011-05-01,,14.0,17.8,,,
USW00012819,"LEESBURG MUNICIPAL AIRPORT, FL US",28.820829999999997,-81.80972,23.5,2011-05-01,3.2,8.4,22.9,26.1,32.0,20.1
US1FLIR0024,"VERO BEACH 3.4 W, FL US",27.642899,-80.44938,5.8,2011-05-01,,27.7,45.0,,,
USC00081978,"CRESCENT CITY, FL US",29.425,-81.5161,16.2,2011-05-01,,18.8,26.7,24.8,30.8,18.8
USW00053848,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",30.506940000000004,-86.95971999999999,31.1,2011-05-01,3.2,0.0,0.0,22.6,29.1,16.0
