STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,EMXP,PRCP,TAVG,TMAX,TMIN
USC00083207,"FORT PIERCE, FL US",27.4419,-80.3508,7.6,2016-06-01,,53.8,169.2,27.5,31.5,23.5
USC00080414,"BAHIA HONDA STATE PARK, FL US",24.65512,-81.27998000000001,1.8,2016-06-01,,8.9,26.1,28.8,31.5,26.1
USC00081306,"CAPE FLORIDA, FL US",25.6719,-80.1566,1.8,2016-06-01,,49.0,171.1,28.8,31.8,25.8
US1FLLK0003,"GROVELAND 1.7 E, FL US",28.565,-81.824,34.1,2016-06-01,,50.8,143.3,,,
US1FLLK0005,"MOUNT PLYMOUTH 0.2 WSW, FL US",28.799,-81.535,27.4,2016-06-01,,46.7,158.3,,,
USR0000FMER,"MERRITT ISLAND FLORIDA, FL US",28.6408,-80.7308,9.1,2016-06-01,,,,27.4,32.4,22.3
US1FLCY0001,"FLEMING ISLAND 1.7 SE, FL US",30.0785,-81.6956,3.0,2016-06-01,,80.5,170.9,,,
US1FLSL0013,"PORT ST. LUCIE 2.4 SSW, FL US",27.249421999999996,-80.371835,11.0,2016-06-01,,43.7,152.4,,,
US1FLBV0020,"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,6.1,2016-06-01,,97.0,172.2,,,
USC00084050,"HOLLYWOOD, FL US",26.0281,-80.1341,2.7,2016-06-01,,29.2,129.9,28.0,31.4,24.7
US1FLCY0005,"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,57.9,2016-06-01,,129.8,227.8,,,
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.1828,-81.0483,9.4,2016-06-01,2.7,33.5,90.8,27.5,32.2,22.8
USC00087205,"PLANT CITY, FL US",28.020840000000003,-82.13855,33.5,2016-06-01,,127.0,333.0,28.4,33.3,23.6
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.495,-81.6936,7.9,2016-06-01,2.8,48.0,78.5,27.3,33.2,21.3
US1FLDV0033,"JACKSONVILLE 10.0 WSW, FL US",30.304370000000002,-81.82263,26.5,2016-06-01,,45.0,208.6,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06222,-81.75417,44.5,2016-06-01,2.0,32.3,180.0,28.6,33.4,23.7
USW00012832,"APALACHICOLA AIRPORT, FL US",29.73333,-85.03333,5.8,2016-06-01,3.1,29.0,105.0,27.6,32.2,23.0
US1FLLN0025,"TALLAHASSEE 3.5 N, FL US",30.508165999999996,-84.283457,29.9,2016-06-01,,115.3,208.3,,,
US1FLPK0034,"LAKELAND 6.9 SW, FL US",27.960835999999997,-81.99560799999999,32.9,2016-06-01,,68.6,277.9,,,
USC00086999,"PENSACOLA 7 NNE, FL US",30.5301,-87.198847,34.7,2016-06-01,,68.1,215.5,,,
USC00084731,"LAKE CITY 2 E, FL US",30.1852,-82.5941,59.4,2016-06-01,,27.7,78.2,27.2,33.0,21.4
US1FLPK0032,"LAKELAND 5.3 WNW, FL US",28.06498,-82.04227,34.1,2016-06-01,,97.0,270.0,,,
USC00085667,"MIAMI NWSFO, FL US",25.7553,-80.3836,4.3,2016-06-01,,38.1,246.9,28.8,32.7,24.9
USC00086315,"NORTH MIAMI BEACH NUMBER 2, FL US",25.95,-80.2158,3.0,2016-06-01,,47.0,144.0,28.2,31.9,24.5
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.401390000000003,-82.55861,8.5,2016-06-01,3.5,46.5,170.9,28.6,32.6,24.5
US1FLAL0004,"BROOKER 6.6 SSE, FL US",29.800590000000003,-82.28361600000001,43.0,2016-06-01,,97.0,187.3,,,
USW00012838,"MELBOURNE INTERNATIONAL AIRPORT, FL US",28.1011,-80.6439,8.2,2016-06-01,3.7,82.8,226.3,27.7,31.7,23.6
US1FLBW0016,"FORT LAUDERDALE 1.9 SSW, FL US",26.11786,-80.152112,0.9,2016-06-01,,35.8,127.6,,,
US1FLBV0013,"ROCKLEDGE 1.1 WSW, FL US",28.312227000000004,-80.745553,11.9,2016-06-01,,39.1,117.9,,,
US1FLAL0007,"GAINESVILLE 8.1 SW, FL US",29.5908,-82.4314,36.9,2016-06-01,,145.8,242.9,,,
US1FLSL0022,"PORT ST. LUCIE 2.4 N, FL US",27.313837,-80.356329,4.9,2016-06-01,,35.3,164.9,,,
US1FLLN0031,"TALLAHASSEE 14.2 NE, FL US",30.603299,-84.112587,43.9,2016-06-01,,169.9,213.1,,,
USC00088620,"STUART, FL US",27.1897,-80.2397,4.0,2016-06-01,,34.8,150.5,28.1,31.7,24.5
US1FLHN0014,"SPRING HILL 2.4 NW, FL US",28.495454,-82.6018,4.9,2016-06-01,,58.7,155.9,,,
USR0000FLSU,"LOWER SUWANNEE FLORIDA, FL US",29.3731,-83.0344,4.6,2016-06-01,,,,27.5,33.4,21.7
USC00085076,"LISBON, FL US",28.8728,-81.7844,20.7,2016-06-01,,50.8,119.2,27.4,32.6,22.2
USW00012842,"TAMPA INTERNATIONAL AIRPORT, FL US",27.961940000000002,-82.5403,5.8,2016-06-01,2.9,70.6,291.6,28.4,32.1,24.6
USC00081276,"CANAL POINT USDA, FL US",26.8639,-80.6256,9.1,2016-06-01,,,103.2,29.2,33.0,25.4
US1FLHB0033,"BLOOMINGDALE 7.6 ESE, FL US",27.828269,-82.148655,32.0,2016-06-01,,56.1,262.9,,,
USW00012885,"FORT LAUDERDALE EXECUTIVE AIRPORT, FL US",26.196939999999998,-80.17083000000001,4.3,2016-06-01,3.4,31.2,116.3,28.0,31.7,24.4
USC00088942,"TITUSVILLE, FL US",28.6243,-80.817,4.9,2016-06-01,,33.3,111.6,27.7,32.0,23.4
USW00012882,"MIAMI OPA LOCKA AIRPORT, FL US",25.90694,-80.28028,3.0,2016-06-01,3.6,35.3,139.5,28.8,32.7,24.9
US1FLPS0006,"LUTZ 3.4 NE, FL US",28.171446000000003,-82.422326,25.9,2016-06-01,,107.4,288.2,,,
US1FLPS0007,"ZEPHYRHILLS 2.6 NNW, FL US",28.269759999999998,-82.194125,47.2,2016-06-01,,73.4,222.0,,,
US1FLPS0008,"ZEPHYRHILLS 0.9 ENE, FL US",28.241976,-82.163851,32.0,2016-06-01,,91.4,318.7,,,
US1FLMN0006,"CUDJOE KEY 0.9 SSW, FL US",24.659425,-81.506312,4.9,2016-06-01,,45.7,127.9,,,
US1FLHB0040,"UNIVERSITY WEST 2.0 WNW, FL US",28.082426,-82.464012,25.9,2016-06-01,,,293.2,,,
US1FLHL0003,"LAKE PLACID 1.1 WSW, FL US",27.2877,-81.3853,32.9,2016-06-01,,29.7,164.8,,,
US1FLHL0001,"LAKE PLACID 9.4 SE, FL US",27.2054,-81.2574,11.9,2016-06-01,,84.6,341.4,,,
US1FLBV0001,"PALM BAY 2.6 SSE, FL US",27.951176,-80.64202,11.9,2016-06-01,,126.0,374.9,,,
US1FLBV0002,"PALM SHORES 1.4 W, FL US",28.18825,-80.680461,11.9,2016-06-01,,43.2,128.2,,,
USR0000FRAC,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9,2.1,2016-06-01,,,,28.5,32.4,24.6
US1FLOK0001,"NICEVILLE 3.6 SE, FL US",30.49385,-86.43979399999999,11.0,2016-06-01,,23.1,130.7,,,
USR0000FSTM,"ST. MARKS EAST FLORIDA, FL US",30.1333,-84.1333,4.6,2016-06-01,,,,26.9,32.0,21.7
USC00087982,"SANFORD, FL US",28.8147,-81.2778,3.7,2016-06-01,,50.3,188.2,28.5,33.8,23.2
US1FLPK0018,"LAKELAND HIGHLANDS 0.3 SE, FL US",27.956999999999997,-81.946,70.1,2016-06-01,,59.4,244.7,,,
US1FLOS0001,"POINCIANA PLACE 2.6 NNW, FL US",28.193045,-81.49972199999999,27.1,2016-06-01,,38.1,138.2,,,
USC00087304,"PORT SALERNO 5 W, FL US",27.0997,-80.2627,3.7,2016-06-01,,31.5,159.5,27.1,31.8,22.3
USW00012812,"PUNTA GORDA CHARLOTTE CO AIRPORT, FL US",26.91722,-81.99139,7.6,2016-06-01,2.9,58.2,360.7,28.3,33.2,23.4
US1FLPS0010,"DADE CITY 1.8 WSW, FL US",28.352214,-82.22250799999999,40.2,2016-06-01,,62.7,244.4,,,
US1FLPB0012,"ABERDEEN 4.2 NNW, FL US",26.607032,-80.172049,11.9,2016-06-01,,46.2,243.0,,,
USW00012850,"KEY WEST NAS, FL US",24.58333,-81.68333,1.8,2016-06-01,4.3,11.2,64.4,28.9,31.7,26.1
US1FLMD0003,"LINDGREN ACRES 0.5 WSW, FL US",25.6682,-80.4087,7.9,2016-06-01,,38.4,124.7,,,
USC00086414,"OCALA, FL US",29.1638,-82.0777,22.9,2016-06-01,,57.9,132.1,28.0,33.9,22.1
US1FLHB0004,"VALRICO 2.2 SE, FL US",27.9125,-82.2261,32.9,2016-06-01,,116.6,392.1,,,
US1FLIR0022,"SEBASTIAN 1.7 SSE, FL US",27.763426000000003,-80.47419599999999,6.1,2016-06-01,,31.8,161.0,,,
