STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,EMXP,PRCP,TAVG,TMAX,TMIN
USC00083207,"FORT PIERCE, FL US",27.4419,-80.3508,7.6,2015-01-01,,11.4,28.0,18.5,23.8,13.3
USC00080414,"BAHIA HONDA STATE PARK, FL US",24.65512,-81.27998000000001,1.8,2015-01-01,,0.5,0.5,21.4,23.7,19.1
USC00081306,"CAPE FLORIDA, FL US",25.6719,-80.1566,1.8,2015-01-01,,35.6,51.6,21.9,25.9,17.8
US1FLLK0003,"GROVELAND 1.7 E, FL US",28.565,-81.824,34.1,2015-01-01,,23.4,46.0,,,
US1FLLK0005,"MOUNT PLYMOUTH 0.2 WSW, FL US",28.799,-81.535,27.4,2015-01-01,,59.2,103.6,,,
USR0000FMER,"MERRITT ISLAND FLORIDA, FL US",28.6408,-80.7308,9.1,2015-01-01,,,,16.3,21.4,11.2
US1FLSL0013,"PORT ST. LUCIE 2.4 SSW, FL US",27.249421999999996,-80.371835,11.0,2015-01-01,,14.5,48.3,,,
US1FLBV0020,"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,6.1,2015-01-01,,56.6,91.3,,,
USC00084050,"HOLLYWOOD, FL US",26.0281,-80.1341,2.7,2015-01-01,,55.9,91.8,21.0,25.2,16.8
US1FLCY0005,"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,57.9,2015-01-01,,54.1,88.0,,,
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.1828,-81.0483,9.4,2015-01-01,3.1,40.1,64.8,15.2,20.7,9.7
USC00087205,"PLANT CITY, FL US",28.020840000000003,-82.13855,33.5,2015-01-01,,24.4,60.5,16.6,22.7,10.6
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.495,-81.6936,7.9,2015-01-01,3.1,34.0,78.2,11.9,17.9,5.9
US1FLDV0033,"JACKSONVILLE 10.0 WSW, FL US",30.304370000000002,-81.82263,26.5,2015-01-01,,34.0,65.5,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06222,-81.75417,44.5,2015-01-01,3.5,68.6,84.3,16.8,22.4,11.1
USW00012832,"APALACHICOLA AIRPORT, FL US",29.73333,-85.03333,5.8,2015-01-01,3.3,79.8,125.4,13.1,18.6,7.6
US1FLLN0025,"TALLAHASSEE 3.5 N, FL US",30.508165999999996,-84.283457,29.9,2015-01-01,,55.1,129.6,,,
US1FLPK0034,"LAKELAND 6.9 SW, FL US",27.960835999999997,-81.99560799999999,32.9,2015-01-01,,21.6,41.8,,,
USC00086999,"PENSACOLA 7 NNE, FL US",30.5301,-87.198847,34.7,2015-01-01,,49.5,77.3,,,
USC00084731,"LAKE CITY 2 E, FL US",30.1852,-82.5941,59.4,2015-01-01,,50.8,75.3,11.2,17.2,5.2
US1FLPK0032,"LAKELAND 5.3 WNW, FL US",28.06498,-82.04227,34.1,2015-01-01,,11.4,25.9,,,
USC00085667,"MIAMI NWSFO, FL US",25.7553,-80.3836,4.3,2015-01-01,,20.6,29.8,20.7,25.1,16.2
USC00086315,"NORTH MIAMI BEACH NUMBER 2, FL US",25.95,-80.2158,3.0,2015-01-01,,53.3,104.0,20.6,24.7,16.4
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.401390000000003,-82.55861,8.5,2015-01-01,3.8,19.8,27.1,17.0,22.2,11.9
US1FLAL0004,"BROOKER 6.6 SSE, FL US",29.800590000000003,-82.28361600000001,43.0,2015-01-01,,58.2,101.2,,,
