STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,EMXP,PRCP,TAVG,TMAX,TMIN
USC00083207,"FORT PIERCE, FL US",27.4419,-80.3508,7.6,2015-06-01,,64.8,99.3,27.1,31.2,23.1
USC00080414,"BAHIA HONDA STATE PARK, FL US",24.65512,-81.27998000000001,1.8,2015-06-01,,16.3,31.3,28.5,31.3,25.8
USC00081306,"CAPE FLORIDA, FL US",25.6719,-80.1566,1.8,2015-06-01,,10.4,32.5,29.1,31.7,26.5
US1FLLK0003,"GROVELAND 1.7 E, FL US",28.565,-81.824,34.1,2015-06-01,,31.8,138.3,,,
US1FLLK0005,"MOUNT PLYMOUTH 0.2 WSW, FL US",28.799,-81.535,27.4,2015-06-01,,24.6,94.7,,,
USR0000FMER,"MERRITT ISLAND FLORIDA, FL US",28.6408,-80.7308,9.1,2015-06-01,,,,26.7,32.3,21.2
US1FLSL0013,"PORT ST. LUCIE 2.4 SSW, FL US",27.249421999999996,-80.371835,11.0,2015-06-01,,39.6,48.1,,,
US1FLBV0020,"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,6.1,2015-06-01,,33.8,145.4,,,
USC00084050,"HOLLYWOOD, FL US",26.0281,-80.1341,2.7,2015-06-01,,15.2,38.6,27.8,30.7,24.9
US1FLCY0005,"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,57.9,2015-06-01,,83.6,226.5,,,
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.1828,-81.0483,9.4,2015-06-01,2.4,45.5,137.1,27.4,32.6,22.1
USC00087205,"PLANT CITY, FL US",28.020840000000003,-82.13855,33.5,2015-06-01,,24.1,109.1,27.9,33.5,22.4
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.495,-81.6936,7.9,2015-06-01,2.5,43.2,160.6,27.1,32.9,21.1
US1FLDV0033,"JACKSONVILLE 10.0 WSW, FL US",30.304370000000002,-81.82263,26.5,2015-06-01,,27.7,153.9,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06222,-81.75417,44.5,2015-06-01,2.6,86.6,349.3,28.6,34.0,23.3
USW00012832,"APALACHICOLA AIRPORT, FL US",29.73333,-85.03333,5.8,2015-06-01,2.9,53.3,175.0,28.7,33.1,24.3
US1FLLN0025,"TALLAHASSEE 3.5 N, FL US",30.508165999999996,-84.283457,29.9,2015-06-01,,28.2,114.3,,,
US1FLPK0034,"LAKELAND 6.9 SW, FL US",27.960835999999997,-81.99560799999999,32.9,2015-06-01,,51.1,219.5,,,
USC00086999,"PENSACOLA 7 NNE, FL US",30.5301,-87.198847,34.7,2015-06-01,,72.9,171.7,,,
USC00084731,"LAKE CITY 2 E, FL US",30.1852,-82.5941,59.4,2015-06-01,,44.5,120.9,27.3,33.4,21.3
USC00085667,"MIAMI NWSFO, FL US",25.7553,-80.3836,4.3,2015-06-01,,29.2,90.0,28.1,31.9,24.3
USC00086315,"NORTH MIAMI BEACH NUMBER 2, FL US",25.95,-80.2158,3.0,2015-06-01,,29.2,119.0,27.9,31.4,24.3
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.401390000000003,-82.55861,8.5,2015-06-01,3.1,25.9,94.6,27.4,31.9,23.0
US1FLAL0004,"BROOKER 6.6 SSE, FL US",29.800590000000003,-82.28361600000001,43.0,2015-06-01,,36.6,157.5,,,
USW00012838,"MELBOURNE INTERNATIONAL AIRPORT, FL US",28.1011,-80.6439,8.2,2015-06-01,3.4,42.7,158.9,27.2,31.9,22.6
US1FLBW0016,"FORT LAUDERDALE 1.9 SSW, FL US",26.11786,-80.152112,0.9,2015-06-01,,13.7,41.9,,,
US1FLBV0013,"ROCKLEDGE 1.1 WSW, FL US",28.312227000000004,-80.745553,11.9,2015-06-01,,35.3,159.6,,,
US1FLAL0007,"GAINESVILLE 8.1 SW, FL US",29.5908,-82.4314,36.9,2015-06-01,,28.7,71.0,,,
US1FLLN0031,"TALLAHASSEE 14.2 NE, FL US",30.603299,-84.112587,43.9,2015-06-01,,26.4,110.1,,,
USC00088620,"STUART, FL US",27.1897,-80.2397,4.0,2015-06-01,,30.7,46.5,28.1,32.3,23.9
US1FLHN0014,"SPRING HILL 2.4 NW, FL US",28.495454,-82.6018,4.9,2015-06-01,,13.7,94.6,,,
USR0000FLSU,"LOWER SUWANNEE FLORIDA, FL US",29.3731,-83.0344,4.6,2015-06-01,,,,27.1,33.2,20.9
USC00085076,"LISBON, FL US",28.8728,-81.7844,20.7,2015-06-01,,37.6,140.9,27.2,32.6,21.8
USW00012842,"TAMPA INTERNATIONAL AIRPORT, FL US",27.961940000000002,-82.5403,5.8,2015-06-01,2.6,62.2,158.1,28.2,32.3,24.1
USC00081276,"CANAL POINT USDA, FL US",26.8639,-80.6256,9.1,2015-06-01,,,,28.5,33.1,23.9
USW00012885,"FORT LAUDERDALE EXECUTIVE AIRPORT, FL US",26.196939999999998,-80.17083000000001,4.3,2015-06-01,3.5,21.3,54.1,28.3,32.2,24.5
USC00088942,"TITUSVILLE, FL US",28.6243,-80.817,4.9,2015-06-01,,109.2,185.8,27.6,32.4,22.8
USW00012882,"MIAMI OPA LOCKA AIRPORT, FL US",25.90694,-80.28028,3.0,2015-06-01,3.2,24.4,82.1,28.6,32.4,24.7
US1FLPS0006,"LUTZ 3.4 NE, FL US",28.171446000000003,-82.422326,25.9,2015-06-01,,20.3,98.9,,,
US1FLPS0007,"ZEPHYRHILLS 2.6 NNW, FL US",28.269759999999998,-82.194125,47.2,2015-06-01,,29.0,210.4,,,
US1FLPS0008,"ZEPHYRHILLS 0.9 ENE, FL US",28.241976,-82.163851,32.0,2015-06-01,,42.7,207.5,,,
US1FLHB0040,"UNIVERSITY WEST 2.0 WNW, FL US",28.082426,-82.464012,25.9,2015-06-01,,42.9,126.2,,,
US1FLHL0003,"LAKE PLACID 1.1 WSW, FL US",27.2877,-81.3853,32.9,2015-06-01,,38.4,216.8,,,
US1FLHL0001,"LAKE PLACID 9.4 SE, FL US",27.2054,-81.2574,11.9,2015-06-01,,39.6,170.3,,,
US1FLBV0001,"PALM BAY 2.6 SSE, FL US",27.951176,-80.64202,11.9,2015-06-01,,31.2,88.6,,,
US1FLBV0002,"PALM SHORES 1.4 W, FL US",28.18825,-80.680461,11.9,2015-06-01,,67.6,153.0,,,
USR0000FRAC,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9,2.1,2015-06-01,,,,27.7,32.9,22.4
US1FLOK0001,"NICEVILLE 3.6 SE, FL US",30.49385,-86.43979399999999,11.0,2015-06-01,,37.1,108.0,,,
USR0000FSTM,"ST. MARKS EAST FLORIDA, FL US",30.1333,-84.1333,4.6,2015-06-01,,,,26.8,32.0,21.5
USC00087982,"SANFORD, FL US",28.8147,-81.2778,3.7,2015-06-01,,53.3,188.4,27.9,33.5,22.4
US1FLPK0018,"LAKELAND HIGHLANDS 0.3 SE, FL US",27.956999999999997,-81.946,70.1,2015-06-01,,88.1,254.3,,,
US1FLOS0001,"POINCIANA PLACE 2.6 NNW, FL US",28.193045,-81.49972199999999,27.1,2015-06-01,,53.3,262.0,,,
USC00087304,"PORT SALERNO 5 W, FL US",27.0997,-80.2627,3.7,2015-06-01,,38.1,143.1,27.5,32.7,22.3
USW00012812,"PUNTA GORDA CHARLOTTE CO AIRPORT, FL US",26.91722,-81.99139,7.6,2015-06-01,2.7,56.4,215.2,27.5,33.3,21.7
US1FLPS0010,"DADE CITY 1.8 WSW, FL US",28.352214,-82.22250799999999,40.2,2015-06-01,,39.9,128.4,,,
US1FLPB0012,"ABERDEEN 4.2 NNW, FL US",26.607032,-80.172049,11.9,2015-06-01,,33.5,140.8,,,
US1FLDV0013,"NEPTUNE BEACH 0.5 NNW, FL US",30.321562,-81.395639,,2015-06-01,,45.5,98.4,,,
USW00012850,"KEY WEST NAS, FL US",24.58333,-81.68333,1.8,2015-06-01,4.3,17.3,50.1,28.8,31.7,26.0
US1FLMD0003,"LINDGREN ACRES 0.5 WSW, FL US",25.6682,-80.4087,7.9,2015-06-01,,26.4,128.0,,,
USC00086414,"OCALA, FL US",29.1638,-82.0777,22.9,2015-06-01,,50.8,146.4,,,
US1FLHB0004,"VALRICO 2.2 SE, FL US",27.9125,-82.2261,32.9,2015-06-01,,66.5,301.6,,,
US1FLIR0022,"SEBASTIAN 1.7 SSE, FL US",27.763426000000003,-80.47419599999999,6.1,2015-06-01,,93.5,156.5,,,
USW00012819,"LEESBURG MUNICIPAL AIRPORT, FL US",28.820829999999997,-81.80972,23.5,2015-06-01,2.7,47.8,178.9,28.2,33.3,23.1
US1FLIR0024,"VERO BEACH 3.4 W, FL US",27.642899,-80.44938,5.8,2015-06-01,,91.7,189.8,,,
USC00081978,"CRESCENT CITY, FL US",29.425,-81.5161,16.2,2015-06-01,,21.6,134.8,27.8,33.1,22.5
USW00053848,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",30.506940000000004,-86.95971999999999,31.1,2015-06-01,3.0,24.1,97.4,28.1,32.9,23.2
US1FLSS0015,"NORTH PORT 4.7 NNE, FL US",27.113171,-82.165734,17.1,2015-06-01,,48.0,172.8,,,
US1FLVL0003,"DE LAND 4.5 NW, FL US",29.087,-81.344,28.0,2015-06-01,,32.0,93.3,,,
US1FLHL0013,"SEBRING 4.7 WNW, FL US",27.515983000000002,-81.525033,56.1,2015-06-01,,68.8,178.0,,,
USC00088051,"SCOTTSMOOR 2.5 SSW, FL US",28.7299,-80.8795,12.8,2015-06-01,,44.5,125.1,26.6,32.2,21.0
US1FLMR0013,"MICANOPY 3.6 SSW, FL US",29.457061,-82.29983299999999,60.0,2015-06-01,,49.5,145.6,,,
US1FLSJ0004,"ST. AUGUSTINE SOUTH 2.1 SSW, FL US",29.81285,-81.33189499999999,15.8,2015-06-01,,62.5,146.5,,,
