STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,EMXP,PRCP,TAVG,TMAX,TMIN
USC00083207,"FORT PIERCE, FL US",27.4419,-80.3508,7.6,2014-06-01,,34.3,149.7,26.4,30.6,22.1
USC00080414,"BAHIA HONDA STATE PARK, FL US",24.65512,-81.27998000000001,1.8,2014-06-01,,83.8,204.6,27.7,30.3,25.1
USC00081306,"CAPE FLORIDA, FL US",25.6719,-80.1566,1.8,2014-06-01,,,159.1,27.7,31.1,24.2
US1FLLK0003,"GROVELAND 1.7 E, FL US",28.565,-81.824,34.1,2014-06-01,,45.7,182.9,,,
US1FLLK0005,"MOUNT PLYMOUTH 0.2 WSW, FL US",28.799,-81.535,27.4,2014-06-01,,81.8,197.9,,,
USR0000FMER,"MERRITT ISLAND FLORIDA, FL US",28.6408,-80.7308,9.1,2014-06-01,,,,26.1,31.5,20.8
US1FLSL0013,"PORT ST. LUCIE 2.4 SSW, FL US",27.249421999999996,-80.371835,11.0,2014-06-01,,34.5,163.9,,,
US1FLBV0020,"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,6.1,2014-06-01,,54.4,132.0,,,
USC00084050,"HOLLYWOOD, FL US",26.0281,-80.1341,2.7,2014-06-01,,34.8,215.2,26.6,30.2,23.0
US1FLCY0005,"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,57.9,2014-06-01,,36.6,162.4,,,
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.1828,-81.0483,9.4,2014-06-01,2.7,27.7,95.4,26.5,31.4,21.6
USC00087205,"PLANT CITY, FL US",28.020840000000003,-82.13855,33.5,2014-06-01,,52.6,158.3,27.4,32.7,22.1
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.495,-81.6936,7.9,2014-06-01,2.7,35.6,113.8,26.4,32.0,20.9
US1FLDV0033,"JACKSONVILLE 10.0 WSW, FL US",30.304370000000002,-81.82263,26.5,2014-06-01,,52.1,197.8,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06222,-81.75417,44.5,2014-06-01,2.8,47.5,173.0,27.6,32.9,22.3
USW00012832,"APALACHICOLA AIRPORT, FL US",29.73333,-85.03333,5.8,2014-06-01,,49.5,87.8,,,
US1FLLN0025,"TALLAHASSEE 3.5 N, FL US",30.508165999999996,-84.283457,29.9,2014-06-01,,25.9,48.8,,,
USC00086999,"PENSACOLA 7 NNE, FL US",30.5301,-87.198847,34.7,2014-06-01,,29.7,136.7,,,
USC00084731,"LAKE CITY 2 E, FL US",30.1852,-82.5941,59.4,2014-06-01,,78.7,159.3,26.2,31.7,20.8
US1FLPK0032,"LAKELAND 5.3 WNW, FL US",28.06498,-82.04227,34.1,2014-06-01,,88.6,259.0,,,
USC00085667,"MIAMI NWSFO, FL US",25.7553,-80.3836,4.3,2014-06-01,,41.7,250.9,27.4,31.8,23.1
USC00086315,"NORTH MIAMI BEACH NUMBER 2, FL US",25.95,-80.2158,3.0,2014-06-01,,76.2,425.9,26.8,30.8,22.7
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.401390000000003,-82.55861,8.5,2014-06-01,3.5,53.6,177.3,27.6,31.9,23.4
US1FLAL0004,"BROOKER 6.6 SSE, FL US",29.800590000000003,-82.28361600000001,43.0,2014-06-01,,17.8,94.4,,,
USW00012838,"MELBOURNE INTERNATIONAL AIRPORT, FL US",28.1011,-80.6439,8.2,2014-06-01,3.5,27.2,154.0,26.7,31.5,22.0
US1FLBW0016,"FORT LAUDERDALE 1.9 SSW, FL US",26.11786,-80.152112,0.9,2014-06-01,,46.7,206.6,,,
US1FLBV0013,"ROCKLEDGE 1.1 WSW, FL US",28.312227000000004,-80.745553,11.9,2014-06-01,,41.4,147.8,,,
US1FLLN0031,"TALLAHASSEE 14.2 NE, FL US",30.603299,-84.112587,43.9,2014-06-01,,29.5,100.2,,,
USC00088620,"STUART, FL US",27.1897,-80.2397,4.0,2014-06-01,,57.4,207.0,27.3,31.5,23.0
US1FLHN0014,"SPRING HILL 2.4 NW, FL US",28.495454,-82.6018,4.9,2014-06-01,,31.5,94.1,,,
USR0000FLSU,"LOWER SUWANNEE FLORIDA, FL US",29.3731,-83.0344,4.6,2014-06-01,,,,26.6,32.4,20.8
USC00085076,"LISBON, FL US",28.8728,-81.7844,20.7,2014-06-01,,24.1,143.7,26.0,31.3,20.8
USW00012842,"TAMPA INTERNATIONAL AIRPORT, FL US",27.961940000000002,-82.5403,5.8,2014-06-01,2.9,12.7,45.2,28.0,32.1,23.9
USC00081276,"CANAL POINT USDA, FL US",26.8639,-80.6256,9.1,2014-06-01,,,257.4,26.7,31.5,21.9
US1FLHB0033,"BLOOMINGDALE 7.6 ESE, FL US",27.828269,-82.148655,32.0,2014-06-01,,31.5,150.2,,,
USW00012885,"FORT LAUDERDALE EXECUTIVE AIRPORT, FL US",26.196939999999998,-80.17083000000001,4.3,2014-06-01,2.9,42.4,171.5,27.4,31.4,23.5
USC00088942,"TITUSVILLE, FL US",28.6243,-80.817,4.9,2014-06-01,,27.2,144.0,26.6,31.4,21.9
USW00012882,"MIAMI OPA LOCKA AIRPORT, FL US",25.90694,-80.28028,3.0,2014-06-01,2.9,52.1,148.2,27.6,31.9,23.3
US1FLPS0006,"LUTZ 3.4 NE, FL US",28.171446000000003,-82.422326,25.9,2014-06-01,,29.5,130.4,,,
US1FLPS0007,"ZEPHYRHILLS 2.6 NNW, FL US",28.269759999999998,-82.194125,47.2,2014-06-01,,32.5,143.2,,,
US1FLPS0008,"ZEPHYRHILLS 0.9 ENE, FL US",28.241976,-82.163851,32.0,2014-06-01,,44.2,190.7,,,
US1FLMN0006,"CUDJOE KEY 0.9 SSW, FL US",24.659425,-81.506312,4.9,2014-06-01,,34.3,144.5,,,
US1FLHB0040,"UNIVERSITY WEST 2.0 WNW, FL US",28.082426,-82.464012,25.9,2014-06-01,,19.1,94.4,,,
US1FLHL0003,"LAKE PLACID 1.1 WSW, FL US",27.2877,-81.3853,32.9,2014-06-01,,,173.2,,,
US1FLBV0001,"PALM BAY 2.6 SSE, FL US",27.951176,-80.64202,11.9,2014-06-01,,24.9,163.8,,,
US1FLBV0002,"PALM SHORES 1.4 W, FL US",28.18825,-80.680461,11.9,2014-06-01,,17.8,74.8,,,
USR0000FRAC,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9,2.1,2014-06-01,,,,26.8,33.0,20.6
US1FLOK0001,"NICEVILLE 3.6 SE, FL US",30.49385,-86.43979399999999,11.0,2014-06-01,,30.7,106.5,,,
USR0000FSTM,"ST. MARKS EAST FLORIDA, FL US",30.1333,-84.1333,4.6,2014-06-01,,,,26.3,31.6,20.9
USC00087982,"SANFORD, FL US",28.8147,-81.2778,3.7,2014-06-01,,28.4,150.8,26.9,32.1,21.8
US1FLPK0018,"LAKELAND HIGHLANDS 0.3 SE, FL US",27.956999999999997,-81.946,70.1,2014-06-01,,42.9,238.8,,,
US1FLOS0001,"POINCIANA PLACE 2.6 NNW, FL US",28.193045,-81.49972199999999,27.1,2014-06-01,,46.2,264.8,,,
US1FLHB0001,"PLANT CITY 6.4 NW, FL US",28.06515,-82.20918,31.1,2014-06-01,,69.3,280.9,,,
USC00087304,"PORT SALERNO 5 W, FL US",27.0997,-80.2627,3.7,2014-06-01,,58.4,229.5,26.2,31.2,21.3
USW00012812,"PUNTA GORDA CHARLOTTE CO AIRPORT, FL US",26.91722,-81.99139,7.6,2014-06-01,2.8,44.7,161.1,27.7,33.2,22.1
US1FLPS0010,"DADE CITY 1.8 WSW, FL US",28.352214,-82.22250799999999,40.2,2014-06-01,,62.5,280.9,,,
US1FLPB0012,"ABERDEEN 4.2 NNW, FL US",26.607032,-80.172049,11.9,2014-06-01,,37.6,244.0,,,
US1FLDV0013,"NEPTUNE BEACH 0.5 NNW, FL US",30.321562,-81.395639,,2014-06-01,,18.5,79.1,,,
USW00012850,"KEY WEST NAS, FL US",24.58333,-81.68333,1.8,2014-06-01,3.6,18.0,109.7,28.2,31.1,25.3
US1FLMD0003,"LINDGREN ACRES 0.5 WSW, FL US",25.6682,-80.4087,7.9,2014-06-01,,,273.2,,,
USC00086414,"OCALA, FL US",29.1638,-82.0777,22.9,2014-06-01,,38.9,197.7,27.0,32.7,21.3
US1FLHB0004,"VALRICO 2.2 SE, FL US",27.9125,-82.2261,32.9,2014-06-01,,34.0,201.4,,,
US1FLIR0022,"SEBASTIAN 1.7 SSE, FL US",27.763426000000003,-80.47419599999999,6.1,2014-06-01,,57.4,169.2,,,
USW00012819,"LEESBURG MUNICIPAL AIRPORT, FL US",28.820829999999997,-81.80972,23.5,2014-06-01,2.6,25.7,124.4,27.6,32.5,22.6
US1FLIR0024,"VERO BEACH 3.4 W, FL US",27.642899,-80.44938,5.8,2014-06-01,,52.3,235.9,,,
USC00081978,"CRESCENT CITY, FL US",29.425,-81.5161,16.2,2014-06-01,,57.2,217.6,26.4,31.1,21.7
USW00053848,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",30.506940000000004,-86.95971999999999,31.1,2014-06-01,3.0,17.8,63.8,26.4,31.3,21.5
US1FLSS0015,"NORTH PORT 4.7 NNE, FL US",27.113171,-82.165734,17.1,2014-06-01,,50.8,215.6,,,
US1FLVL0005,"ORMOND BEACH 3.5 SE, FL US",29.265,-81.0472,7.0,2014-06-01,,22.6,83.7,,,
US1FLVL0003,"DE LAND 4.5 NW, FL US",29.087,-81.344,28.0,2014-06-01,,33.8,167.8,,,
US1FLHL0013,"SEBRING 4.7 WNW, FL US",27.515983000000002,-81.525033,56.1,2014-06-01,,65.0,209.2,,,
USC00088051,"SCOTTSMOOR 2.5 SSW, FL US",28.7299,-80.8795,12.8,2014-06-01,,42.2,103.1,25.9,31.3,20.6
US1FLMR0013,"MICANOPY 3.6 SSW, FL US",29.457061,-82.29983299999999,60.0,2014-06-01,,27.4,133.5,,,
US1FLSJ0004,"ST. AUGUSTINE SOUTH 2.1 SSW, FL US",29.81285,-81.33189499999999,15.8,2014-06-01,,31.0,57.0,,,
USW00092827,"SEBRING 23 SSE, FL US",27.1526,-81.3689,45.7,2014-06-01,,19.9,122.3,26.4,32.5,20.2
US1FLMA0006,"ELLENTON 6.6 E, FL US",27.54,-82.42200000000001,10.1,2014-06-01,,59.9,164.0,,,
US1FLPK0007,"AUBURNDALE 1.7 NW, FL US",28.090015,-81.81575,42.1,2014-06-01,,42.9,176.0,,,
USC00089176,"VENICE, FL US",27.1006,-82.4364,2.4,2014-06-01,,33.8,98.1,27.4,32.2,22.6
USW00063890,"JACKSONVILLE WHITEHOUSE NAVAL OUTLYING FIELD, FL US",30.350279999999998,-81.88306,30.2,2014-06-01,2.1,37.1,126.1,26.5,32.4,20.6
USC00084366,"JACKSONVILLE BEACH, FL US",30.2875,-81.3927,3.0,2014-06-01,,16.8,61.3,26.4,30.1,22.8
US1FLHB0010,"TAMPA 5.1 S, FL US",27.885885,-82.489524,2.1,2014-06-01,,40.9,151.7,,,
USC00088368,"SOUTH BAY 15 S, FL US",26.47,-80.6402,6.1,2014-06-01,,21.6,87.1,25.5,31.1,20.0
