STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,EMXP,PRCP,TAVG,TMAX,TMIN
USC00083207,"FORT PIERCE, FL US",27.4419,-80.3508,7.6,2014-05-01,,20.1,50.4,24.8,28.6,21.0
USC00080414,"BAHIA HONDA STATE PARK, FL US",24.65512,-81.27998000000001,1.8,2014-05-01,,50.8,93.3,26.8,30.4,23.3
USC00081306,"CAPE FLORIDA, FL US",25.6719,-80.1566,1.8,2014-05-01,,88.1,109.5,27.2,30.2,24.2
US1FLLK0003,"GROVELAND 1.7 E, FL US",28.565,-81.824,34.1,2014-05-01,,61.0,123.3,,,
US1FLLK0005,"MOUNT PLYMOUTH 0.2 WSW, FL US",28.799,-81.535,27.4,2014-05-01,,36.8,156.4,,,
USR0000FMER,"MERRITT ISLAND FLORIDA, FL US",28.6408,-80.7308,9.1,2014-05-01,,,,23.6,29.5,17.7
US1FLCY0001,"FLEMING ISLAND 1.7 SE, FL US",30.0785,-81.6956,3.0,2014-05-01,,,105.4,,,
US1FLSL0013,"PORT ST. LUCIE 2.4 SSW, FL US",27.249421999999996,-80.371835,11.0,2014-05-01,,37.8,89.7,,,
US1FLBV0020,"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,6.1,2014-05-01,,34.3,98.8,,,
USC00084050,"HOLLYWOOD, FL US",26.0281,-80.1341,2.7,2014-05-01,,71.1,159.0,26.2,29.2,23.1
US1FLCY0005,"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,57.9,2014-05-01,,27.7,108.2,,,
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.1828,-81.0483,9.4,2014-05-01,2.6,32.5,104.4,24.1,29.0,19.3
USC00087205,"PLANT CITY, FL US",28.020840000000003,-82.13855,33.5,2014-05-01,,49.8,139.4,25.5,31.5,19.5
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.495,-81.6936,7.9,2014-05-01,2.7,61.5,139.3,23.2,29.1,17.3
US1FLDV0033,"JACKSONVILLE 10.0 WSW, FL US",30.304370000000002,-81.82263,26.5,2014-05-01,,28.2,99.9,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06222,-81.75417,44.5,2014-05-01,3.4,44.2,76.7,26.0,31.8,20.1
USW00012832,"APALACHICOLA AIRPORT, FL US",29.73333,-85.03333,5.8,2014-05-01,3.1,24.4,32.5,24.2,29.0,19.4
US1FLLN0025,"TALLAHASSEE 3.5 N, FL US",30.508165999999996,-84.283457,29.9,2014-05-01,,32.3,69.0,,,
