STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,EMXP,PRCP,TAVG,TMAX,TMIN
USC00083207,"FORT PIERCE, FL US",27.4419,-80.3508,7.6,2017-06-01,,51.6,180.7,26.7,30.6,22.9
USC00080414,"BAHIA HONDA STATE PARK, FL US",24.65512,-81.27998000000001,1.8,2017-06-01,,54.4,171.6,28.6,31.3,25.9
USC00081306,"CAPE FLORIDA, FL US",25.6719,-80.1566,1.8,2017-06-01,,56.9,276.9,29.0,31.6,26.4
US1FLLK0003,"GROVELAND 1.7 E, FL US",28.565,-81.824,34.1,2017-06-01,,73.7,252.6,,,
US1FLLK0005,"MOUNT PLYMOUTH 0.2 WSW, FL US",28.799,-81.535,27.4,2017-06-01,,94.2,414.6,,,
USR0000FMER,"MERRITT ISLAND FLORIDA, FL US",28.6408,-80.7308,9.1,2017-06-01,,,,26.8,31.1,22.5
US1FLCY0001,"FLEMING ISLAND 1.7 SE, FL US",30.0785,-81.6956,3.0,2017-06-01,,90.9,351.0,,,
US1FLSL0013,"PORT ST. LUCIE 2.4 SSW, FL US",27.249421999999996,-80.371835,11.0,2017-06-01,,71.9,285.5,,,
US1FLBV0020,"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,6.1,2017-06-01,,52.1,259.3,,,
USC00084050,"HOLLYWOOD, FL US",26.0281,-80.1341,2.7,2017-06-01,,182.9,345.3,27.6,30.4,24.8
US1FLCY0005,"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,57.9,2017-06-01,,62.7,524.8,,,
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.1828,-81.0483,9.4,2017-06-01,2.4,63.8,234.2,27.0,31.0,23.0
USC00087205,"PLANT CITY, FL US",28.020840000000003,-82.13855,33.5,2017-06-01,,74.9,432.5,28.5,34.0,22.9
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.495,-81.6936,7.9,2017-06-01,2.6,45.2,301.9,26.4,30.9,21.8
US1FLDV0033,"JACKSONVILLE 10.0 WSW, FL US",30.304370000000002,-81.82263,26.5,2017-06-01,,53.3,338.5,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06222,-81.75417,44.5,2017-06-01,2.8,45.7,285.8,27.7,32.2,23.1
USW00012832,"APALACHICOLA AIRPORT, FL US",29.73333,-85.03333,5.8,2017-06-01,3.0,122.7,442.6,26.4,29.9,22.9
US1FLLN0025,"TALLAHASSEE 3.5 N, FL US",30.508165999999996,-84.283457,29.9,2017-06-01,,95.3,320.9,,,
US1FLPK0034,"LAKELAND 6.9 SW, FL US",27.960835999999997,-81.99560799999999,32.9,2017-06-01,,63.0,325.8,,,
USC00086999,"PENSACOLA 7 NNE, FL US",30.5301,-87.198847,34.7,2017-06-01,,109.2,502.5,,,
USC00084731,"LAKE CITY 2 E, FL US",30.1852,-82.5941,59.4,2017-06-01,,47.2,265.4,25.8,30.6,21.0
US1FLPK0032,"LAKELAND 5.3 WNW, FL US",28.06498,-82.04227,34.1,2017-06-01,,48.5,362.4,,,
USC00085667,"MIAMI NWSFO, FL US",25.7553,-80.3836,4.3,2017-06-01,,80.3,333.3,28.1,31.5,24.8
USC00086315,"NORTH MIAMI BEACH NUMBER 2, FL US",25.95,-80.2158,3.0,2017-06-01,,88.9,303.5,27.6,30.9,24.2
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.401390000000003,-82.55861,8.5,2017-06-01,3.4,45.5,281.8,27.2,31.0,23.4
US1FLAL0004,"BROOKER 6.6 SSE, FL US",29.800590000000003,-82.28361600000001,43.0,2017-06-01,,69.9,391.5,,,
USW00012838,"MELBOURNE INTERNATIONAL AIRPORT, FL US",28.1011,-80.6439,8.2,2017-06-01,3.5,34.8,164.2,27.8,31.5,24.2
US1FLBW0016,"FORT LAUDERDALE 1.9 SSW, FL US",26.11786,-80.152112,0.9,2017-06-01,,127.5,342.7,,,
US1FLBV0013,"ROCKLEDGE 1.1 WSW, FL US",28.312227000000004,-80.745553,11.9,2017-06-01,,71.4,335.4,,,
US1FLAL0007,"GAINESVILLE 8.1 SW, FL US",29.5908,-82.4314,36.9,2017-06-01,,44.7,305.4,,,
US1FLSL0022,"PORT ST. LUCIE 2.4 N, FL US",27.313837,-80.356329,4.9,2017-06-01,,73.4,270.4,,,
US1FLLN0031,"TALLAHASSEE 14.2 NE, FL US",30.603299,-84.112587,43.9,2017-06-01,,49.0,236.0,,,
USC00088620,"STUART, FL US",27.1897,-80.2397,4.0,2017-06-01,,104.1,307.4,28.0,31.5,24.4
US1FLHN0014,"SPRING HILL 2.4 NW, FL US",28.495454,-82.6018,4.9,2017-06-01,,80.5,282.3,,,
USR0000FLSU,"LOWER SUWANNEE FLORIDA, FL US",29.3731,-83.0344,4.6,2017-06-01,,,,26.6,31.9,21.3
USC00085076,"LISBON, FL US",28.8728,-81.7844,20.7,2017-06-01,,87.1,359.0,26.5,30.9,22.2
USW00012842,"TAMPA INTERNATIONAL AIRPORT, FL US",27.961940000000002,-82.5403,5.8,2017-06-01,2.6,39.6,200.8,28.1,31.8,24.4
USC00081276,"CANAL POINT USDA, FL US",26.8639,-80.6256,9.1,2017-06-01,,,365.2,28.8,32.6,24.9
US1FLHB0033,"BLOOMINGDALE 7.6 ESE, FL US",27.828269,-82.148655,32.0,2017-06-01,,54.1,251.8,,,
