STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,EMXP,PRCP,TAVG,TMAX,TMIN
USC00083207,"FORT PIERCE, FL US",27.4419,-80.3508,7.6,2009-05-01,,55.4,244.4,25.3,29.3,21.3
USC00080414,"BAHIA HONDA STATE PARK, FL US",24.65512,-81.27998000000001,1.8,2009-05-01,,9.7,26.9,27.0,30.0,24.1
USC00081306,"CAPE FLORIDA, FL US",25.6719,-80.1566,1.8,2009-05-01,,57.4,135.8,26.3,28.6,24.1
US1FLLK0003,"GROVELAND 1.7 E, FL US",28.565,-81.824,34.1,2009-05-01,,80.0,277.1,,,
US1FLLK0005,"MOUNT PLYMOUTH 0.2 WSW, FL US",28.799,-81.535,27.4,2009-05-01,,105.7,438.3,,,
USR0000FMER,"MERRITT ISLAND FLORIDA, FL US",28.6408,-80.7308,9.1,2009-05-01,,,,24.7,29.7,19.7
US1FLSL0013,"PORT ST. LUCIE 2.4 SSW, FL US",27.249421999999996,-80.371835,11.0,2009-05-01,,35.1,113.8,,,
US1FLBV0020,"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,6.1,2009-05-01,,85.3,241.8,,,
USC00084050,"HOLLYWOOD, FL US",26.0281,-80.1341,2.7,2009-05-01,,72.6,249.9,25.8,28.8,22.7
US1FLCY0005,"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,57.9,2009-05-01,,84.8,510.2,,,
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.1828,-81.0483,9.4,2009-05-01,2.8,161.8,567.3,24.8,29.5,20.2
USC00087205,"PLANT CITY, FL US",28.020840000000003,-82.13855,33.5,2009-05-01,,78.7,417.5,25.4,31.4,19.5
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.495,-81.6936,7.9,2009-05-01,3.1,128.8,343.1,24.0,29.4,18.6
US1FLDV0033,"JACKSONVILLE 10.0 WSW, FL US",30.304370000000002,-81.82263,26.5,2009-05-01,,119.6,315.0,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06222,-81.75417,44.5,2009-05-01,3.0,46.0,209.9,26.6,32.4,20.9
