STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,EMXP,PRCP,TAVG,TMAX,TMIN
USC00083207,"FORT PIERCE, FL US",27.4419,-80.3508,7.6,2011-06-01,,30.5,84.4,27.0,31.4,22.6
USC00080414,"BAHIA HONDA STATE PARK, FL US",24.65512,-81.27998000000001,1.8,2011-06-01,,18.0,19.0,28.8,31.4,26.1
USC00081306,"CAPE FLORIDA, FL US",25.6719,-80.1566,1.8,2011-06-01,,38.1,59.0,28.4,30.9,25.9
US1FLLK0003,"GROVELAND 1.7 E, FL US",28.565,-81.824,34.1,2011-06-01,,46.0,170.9,,,
US1FLLK0005,"MOUNT PLYMOUTH 0.2 WSW, FL US",28.799,-81.535,27.4,2011-06-01,,29.5,83.6,,,
USR0000FMER,"MERRITT ISLAND FLORIDA, FL US",28.6408,-80.7308,9.1,2011-06-01,,,,26.3,32.0,20.6
US1FLCY0001,"FLEMING ISLAND 1.7 SE, FL US",30.0785,-81.6956,3.0,2011-06-01,,55.9,90.1,,,
US1FLSL0013,"PORT ST. LUCIE 2.4 SSW, FL US",27.249421999999996,-80.371835,11.0,2011-06-01,,33.0,70.9,,,
USC00084050,"HOLLYWOOD, FL US",26.0281,-80.1341,2.7,2011-06-01,,20.1,50.0,28.0,31.2,24.8
US1FLCY0005,"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,57.9,2011-06-01,,29.0,96.9,,,
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.1828,-81.0483,9.4,2011-06-01,2.4,66.0,312.0,26.9,32.2,21.6
USC00087205,"PLANT CITY, FL US",28.020840000000003,-82.13855,33.5,2011-06-01,,42.4,120.7,27.9,33.8,22.0
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.495,-81.6936,7.9,2011-06-01,2.5,45.2,154.2,27.2,33.9,20.4
US1FLDV0033,"JACKSONVILLE 10.0 WSW, FL US",30.304370000000002,-81.82263,26.5,2011-06-01,,40.6,108.6,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06222,-81.75417,44.5,2011-06-01,2.7,39.4,108.4,28.5,34.4,22.6
USW00012832,"APALACHICOLA AIRPORT, FL US",29.73333,-85.03333,5.8,2011-06-01,,15.2,35.7,28.2,33.4,23.1
