STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,EMXP,PRCP,TAVG,TMAX,TMIN
USC00083207,"FORT PIERCE, FL US",27.4419,-80.3508,7.6,2012-06-01,,27.4,148.4,26.2,29.8,22.5
USC00080414,"BAHIA HONDA STATE PARK, FL US",24.65512,-81.27998000000001,1.8,2012-06-01,,48.3,186.2,27.6,30.0,25.1
USC00081306,"CAPE FLORIDA, FL US",25.6719,-80.1566,1.8,2012-06-01,,60.2,277.8,28.1,31.0,25.3
US1FLLK0003,"GROVELAND 1.7 E, FL US",28.565,-81.824,34.1,2012-06-01,,73.9,340.4,,,
US1FLLK0005,"MOUNT PLYMOUTH 0.2 WSW, FL US",28.799,-81.535,27.4,2012-06-01,,106.9,378.9,,,
USR0000FMER,"MERRITT ISLAND FLORIDA, FL US",28.6408,-80.7308,9.1,2012-06-01,,,,25.7,30.3,21.1
US1FLCY0001,"FLEMING ISLAND 1.7 SE, FL US",30.0785,-81.6956,3.0,2012-06-01,,111.8,653.3,,,
US1FLSL0013,"PORT ST. LUCIE 2.4 SSW, FL US",27.249421999999996,-80.371835,11.0,2012-06-01,,23.1,129.8,,,
US1FLBV0020,"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,6.1,2012-06-01,,33.5,227.0,,,
USC00084050,"HOLLYWOOD, FL US",26.0281,-80.1341,2.7,2012-06-01,,69.1,279.7,27.3,30.6,24.0
US1FLCY0005,"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,57.9,2012-06-01,,198.6,453.7,,,
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.1828,-81.0483,9.4,2012-06-01,3.1,59.4,226.1,25.9,30.1,21.8
USC00087205,"PLANT CITY, FL US",28.020840000000003,-82.13855,33.5,2012-06-01,,101.6,380.7,26.5,31.3,21.6
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.495,-81.6936,7.9,2012-06-01,3.4,186.9,421.4,25.5,30.5,20.4
US1FLDV0033,"JACKSONVILLE 10.0 WSW, FL US",30.304370000000002,-81.82263,26.5,2012-06-01,,146.8,545.5,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06222,-81.75417,44.5,2012-06-01,3.6,118.4,347.4,26.8,31.4,22.1
