date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
2009_01,20.203906502767115,19.993556533569937,19.690992563728663,19.993556533569937,18.80252952411984,19.02881533361907,19.564023421635945,18.260071604838444,18.2399005567016,18.302218100197088,18.506248259608753,19.330103699291275,17.75059258740598,17.61790934736574,17.484017834823558,17.51415535542351,18.72047128562767,17.361043213872414,17.18044752839284,16.888769474633254,16.69004835479376,16.937460859305368,18.167568447006097,16.818309841773008,16.52564183395517,16.181574388279593,16.11036419695467,16.703096657815806,18.167568447006097,16.076635929250795,16.21361705027993,15.802042570649856,15.69234750924425,16.33895500698327,16.987264819861657,16.987264819861657,15.78882648863028,15.642275833740864,15.240929684160003,15.457627076791795,16.267452989122905,16.827753495291788,16.827753495291788,15.368222591946775,15.248241125233049,14.982462870351029,15.230050649769108,15.74521984492509,16.30944867996204,15.582883979617751,15.005309531833763,14.999167183209387,15.003130665218174,15.254900522001408,15.632521972821353,16.082934681869485,16.03647985061437,15.085711667484746,15.016262446058814,15.269182443269049,15.430038724176285,15.584218497607877,15.844263175028516,16.350571538132918,16.008102140296494,15.469688256635283,15.667866461351867,15.63096137218068,15.54668403518041,15.844263175028516,15.835953023475936,16.915485921883878,16.648445277755272,15.491089026656008,15.401266707444925,15.330236201306287,15.330236201306287,14.97053249748815,14.996144367054562,17.48493819772699,15.037051780722676,14.933850760197224,15.023842978401799,14.00819051698459,14.32059295035776,15.15148679786806,13.516588137641836,14.499808367539448,14.481316468657429,13.178667790277085,13.65649461528057,12.623045640896189,11.56295334730608,14.19625635319844,11.733445187686614,12.710323557376645,13.347823380886076,13.01714029991738,12.690952238066988,14.284210228726769,11.2,11.490478025683723,12.42605799456416,13.019388922106524,12.859191873183601,13.630136574675749,14.245510713169736,12.587074258527917,11.2,11.60661211404175,12.207355929457929,12.53228740344306,12.548208278348824,13.718638429927646,14.063231063185818,12.724213329096226,12.215740728662972,11.766217132309913,11.413199914937422,11.24071942363056,11.625665631138915,11.927256913680635,12.077568009433124,11.988730249975891,12.11529602398898,13.199940501464042,12.476917114623857,12.90956510182145,12.747049992935205,12.568127783235571,12.333846579918925,12.021941849099143,11.645831720901525,11.221242822734387,11.2,11.2,11.2,11.362246114832143,11.738341300462658,11.55452738539325,12.45154521064294,12.476917114623857,12.476917114623857,12.356702099126128,12.90956510182145,12.747049992935205,12.568127783235571,12.333846579918925,12.021941849099143,11.645831720901525,11.221242822734387,11.2,11.2,11.2,11.362246114832143,11.738341300462658,11.55452738539325,12.45154521064294,12.476917114623857,12.476917114623857,12.476917114623857,12.356702099126128,12.90956510182145,12.747049992935205,12.568127783235571,12.333846579918925,11.55452738539325
2009_02,18.451932411800595,19.1398333088078,18.69258086476438,19.1398333088078,18.703810619580004,18.781753171578405,18.442508694550035,18.183776806894997,18.191574985585497,18.391392834431777,18.76409517048762,19.28564081686379,17.700671337437186,17.59369976550669,17.505618751959638,18.048799786932122,19.113032350277305,17.38189156609539,17.139908518003654,16.864334952174744,16.49072510312816,16.96526659139754,19.150669442482332,16.781743267047155,16.464097062939558,16.355890408299732,15.712044980570255,16.550561078084918,19.150669442482332,16.160989256204864,16.128977661514966,15.940309636775913,16.106062793846043,16.57891309906214,17.148661169703153,17.148661169703153,15.817217818464343,15.474015589392886,15.58637974795861,16.089356144126704,16.965646140678075,17.201055225215836,17.201055225215836,15.188243768247816,14.974918233092588,15.27102634889086,15.99992529427504,16.492669930490514,16.74402088725739,15.864616161360862,14.60485406446912,14.639601129860061,15.187458782945388,16.027866088455134,16.54158746367645,16.73551395606649,16.22021291092792,14.88677876603596,14.755754789002461,15.455104841254125,16.087373985132118,16.547711642177703,16.64123187096002,16.8085024158563,16.702288063047323,15.77497653902799,16.1084803836671,16.33446631452975,16.450445474147585,16.64123187096002,16.68616690628054,18.700963268163054,18.377188347239656,16.211289203949725,16.40044163830978,16.459150903867148,16.459150903867148,16.102139666424023,15.798493687009037,20.367895003731505,15.77992181007297,16.001324210233417,16.039679473971983,15.309756016160724,15.270433528196518,16.41031303370047,13.24847359833146,15.290417058525614,14.85725100328622,14.550972397978231,14.794718743677302,12.11744152420725,11.0,14.405033554746645,12.749066201459256,14.083660266869346,14.657861252798964,13.09643075790336,11.581834334898206,14.168509647622418,11.380293268976098,12.180665634014616,13.536822693667446,14.136790031781352,12.738712906897543,13.442237314770914,14.047883846683497,11.80046363819111,11.295099065734862,11.856226721081045,12.8091925362303,13.000504136790799,12.848017184451198,13.918172807731539,13.839329427862113,12.202398230064757,11.714307498909399,11.328708814326195,11.095261774884657,11.035669436189416,11.31877457541121,11.68669896849794,12.161139415391093,12.413830996576726,12.851704276564023,13.633703140036241,12.80425019785187,12.87042786318607,12.717925165311799,12.549604536272813,12.349004686237732,12.09738228765237,11.801423102269638,11.469139611563701,11.163214614243266,11.0,11.098474807694872,11.52441820649036,11.929082402004271,12.280155511752426,12.741513001333711,12.80425019785187,12.80425019785187,12.258996714004383,12.87042786318607,12.717925165311799,12.549604536272813,12.349004686237732,12.09738228765237,11.801423102269638,11.469139611563701,11.163214614243266,11.0,11.098474807694872,11.52441820649036,11.929082402004271,12.280155511752426,12.741513001333711,12.80425019785187,12.80425019785187,12.80425019785187,12.258996714004383,12.87042786318607,12.717925165311799,12.549604536272813,12.349004686237732,12.280155511752426
2009_03,21.66098027001016,22.04274924689358,21.412933676573743,22.04274924689358,20.468267980414154,20.897589760704907,21.53999702272133,20.976919069448684,20.030619257760165,20.250865055742196,21.364127319577932,21.541491471948767,20.58405311055788,19.60505888292795,19.62278936105987,20.754495858089292,21.62518098100088,21.03677830291575,20.169939265415984,19.151307707018173,19.108141422074123,19.90858304122336,21.746452805550902,20.654779794649635,19.739743057305148,18.94059958039212,18.83244721938803,19.644765578100824,21.746452805550902,19.5891208833201,20.175095763369487,19.49685839978524,19.071957965422147,19.598031447004928,20.087348610962117,20.087348610962117,19.67316923931889,19.72357699058814,19.30447369600347,19.313973690302724,19.930532830873272,20.15695235022225,20.15695235022225,19.42277305265715,19.40998037030146,19.237468482080274,19.427037256358787,19.69051616875289,19.909818731953987,19.64780574289445,19.19632086960735,19.237811608250013,19.39045719926964,19.710530649039377,19.897608249750018,20.04627927796336,20.404945451497124,19.411351667068235,19.338124383094133,19.76168864310339,20.026766662206015,20.082782520183237,20.043604653524053,20.98697781880785,20.48111356774988,19.901244998134935,20.272148930015153,20.318179403982626,20.142500216212643,20.043604653524053,20.68842025597148,21.600387888597048,21.16406183257165,20.484738504303678,20.536657070434966,20.255476621667096,20.255476621667096,20.082416883854933,20.250783976202392,22.139112106046635,20.21435447849309,20.532527265862416,19.972711962686823,19.408806000612483,19.995257156749368,20.196798485888532,18.809295547821247,20.18369170274211,18.904648884253692,18.869518291377975,19.670069095755053,18.21817249801221,16.953274102612724,19.491987635390263,17.073189799442215,18.644375229552136,19.618238130252674,18.921759468737676,18.115571198349173,19.09688653531654,16.1,16.9460223114547,18.391149345710055,19.287454419427423,18.71816088414927,18.941386640728894,18.64792533704491,16.607603799735365,16.3893395441724,17.148365428234865,18.067833206229963,18.587317346503497,18.216559538239252,18.843422922851147,18.127239972509283,16.687369231308466,16.409408608071814,16.197638277911977,16.1,16.394935169183842,17.01863341512128,17.504106456521342,17.784753157163596,17.698237116871837,17.537416571374518,18.084091668950464,17.457412616754848,16.90278127472731,16.8080529485176,16.73139710087687,16.647390271854608,16.539046274671456,16.411440340426662,16.27038086811209,16.149042434447058,16.101994120922292,16.24981941608164,16.868955436587267,17.191219949142663,16.744350772751783,17.105041688928456,17.457412616754848,17.457412616754848,16.65852559086211,16.90278127472731,16.8080529485176,16.73139710087687,16.647390271854608,16.539046274671456,16.411440340426662,16.27038086811209,16.149042434447058,16.101994120922292,16.24981941608164,16.868955436587267,17.191219949142663,16.744350772751783,17.105041688928456,17.457412616754848,17.457412616754848,17.457412616754848,16.65852559086211,16.90278127472731,16.8080529485176,16.73139710087687,16.647390271854608,16.744350772751783
2009_04,24.67924138999598,24.65454048929771,24.339002007206027,24.65454048929771,23.190908419600156,23.69900578931205,24.40570272135761,23.087526774730875,22.682484411193744,22.97572023200092,23.798890290663515,24.069242156545595,22.70199662647685,22.20303848855528,22.27414762248552,23.077934532866216,24.058944489164965,22.89423619455635,22.352840359710857,21.735187874033308,21.687529990847786,22.424762691709894,24.500256918697595,22.628829775409926,22.04387483843623,21.398353888491403,21.396374471240986,22.29331004561184,24.500256918697595,22.026091720546752,22.40660874434622,21.77388819958579,21.394758515591775,22.16669756415206,22.799962048031055,22.799962048031055,22.138837849151606,22.328519863628944,21.63549772376676,21.639558343870203,22.431348707176042,22.79282686382416,22.79282686382416,22.273564733336638,22.387673018356043,21.890111243995072,21.78172631818606,22.125149961670218,22.422376794751973,22.204673067045547,22.429655523446993,22.514403698731833,22.31917315282355,22.164348716092896,22.343821135625493,22.561246972388684,23.01369450469343,22.527256045265247,22.649296173403204,22.741676160931483,22.60846394360926,22.46222479951575,22.551861381920972,23.35338642472595,22.697339014982877,22.654699445267816,22.94166707979894,22.771416625488385,22.469353470773076,22.551861381920972,22.902298675732865,22.688412971671696,22.371483373706923,22.684922173687365,22.41443194163846,22.049668351805945,22.049668351805945,22.247303771562553,22.443423701327248,22.060458135334024,22.22250739489442,21.97357208916247,21.507843353990154,21.54461885684212,22.037579541736957,21.76669795784092,21.69373471966903,21.565804767134964,20.918701142067125,20.9136341158985,21.470014500520474,21.512575100039566,21.439055379633853,21.236332662874975,19.785121536722567,20.446761302234037,21.02010518874238,21.179764130805143,21.242353731067308,21.149375010744585,19.12938804690064,19.517874487564534,20.10376176783985,20.582293320962002,20.711706588440332,20.939029120938493,21.092235296590243,19.438048134445822,19.247747673679417,19.509294859543832,19.838272179308273,20.039266887145608,20.17175331257883,20.658439315607122,21.17622375785509,19.42280408759094,19.401168725773818,19.358635023592093,19.30867785134984,19.32972233232379,19.536180175830733,19.64849973092205,19.637875424425413,19.440384908011225,19.590434519538267,20.346563722562106,19.584914475993628,19.21504175519634,19.330068522596527,19.40630400691061,19.394017129066313,19.27959268237485,19.08119954249105,18.819895955277268,18.595884080233777,18.523093067021488,18.695292623593236,18.96907035387572,19.172255835893424,19.022631430610307,20.00852367103642,19.584914475993628,19.584914475993628,18.82320714335261,19.21504175519634,19.330068522596527,19.40630400691061,19.394017129066313,19.27959268237485,19.08119954249105,18.819895955277268,18.595884080233777,18.523093067021488,18.695292623593236,18.96907035387572,19.172255835893424,19.022631430610307,20.00852367103642,19.584914475993628,19.584914475993628,19.584914475993628,18.82320714335261,19.21504175519634,19.330068522596527,19.40630400691061,19.394017129066313,19.022631430610307
2009_05,26.527774081810882,26.746215250987564,26.314223730401373,26.746215250987564,25.50398675169262,25.916829585309184,26.37467029058582,25.838518393739847,25.183901720482247,25.405802679007724,26.30268088290076,26.00987608783586,25.635438332319065,24.89965430662798,24.88408922851823,25.725250594568692,26.047071135325453,25.947197752504607,25.448753626927346,24.620748373911717,24.459570522757033,24.853121523030275,25.868365373168416,25.85942625899215,25.28751852393059,24.53760302017246,24.26908949217286,24.60061112897777,25.722285527830643,24.70044689824795,25.735692608699782,25.28183449758316,24.784287012584404,25.118862531191645,25.26300268879494,25.722285527830643,25.196773234057922,25.7088828031712,25.3508494578429,25.19201108193744,25.582583441706824,25.59733536758442,25.59733536758442,25.298183948935172,25.761617759567756,25.682929098447662,25.451269072733147,25.340721660210075,25.367904872571867,25.2872269309806,25.341867771588614,25.842014572223597,26.16272370761604,25.935630705251697,25.594211935232355,25.366915344751835,25.89376703437324,25.35311779278227,25.925604090168793,26.642644759742527,26.476813420065973,25.88132363432851,25.398384144500373,26.21852749471775,25.55307281842751,25.929035514378505,26.940655061921873,26.864816781872822,26.182786659378824,25.09755502891231,25.978923351153036,25.813913858430105,25.73622014257804,26.688522900422896,27.4,26.864111219042737,25.09755502891231,25.592686074220627,25.747416014156432,25.6901870451369,26.132546691975143,26.98168625075781,26.73337209630369,25.15524607309704,25.571680408637715,25.59655739066059,25.580534024261503,25.73109291530161,25.4669529927428,24.73214135511041,25.209710737290067,25.348952916252742,25.220357288026147,25.11830883809364,23.778096461202914,24.360215561483436,24.85607063590341,25.02579273782973,24.89368853570684,24.73039736269311,23.6,23.6,24.057059874672753,24.53540817268341,24.698941487199704,24.596404074203125,24.42197006916115,24.551344056964535,23.6,23.6,23.851386358961925,24.209488046486893,24.391614961614444,24.363248825852214,24.42197006916115,24.64576893716757,24.419550170268643,24.155351730461682,23.92516880938806,23.654837516578233,23.628614504397444,23.621603524368663,23.734859902913257,23.92255019232246,24.119326082186422,24.20410324078626,24.748357054218932,24.737794223684514,24.655621164929777,24.50773273650215,24.353100626865935,24.200412329010348,24.05830106593525,23.929967756691966,23.81761004852637,23.725886758184053,23.66300303466403,23.66518881276812,23.769000319666052,23.900865543634385,24.096902750936582,24.748357054218932,24.748357054218932,24.53875001924105,24.737794223684514,24.655621164929777,24.50773273650215,24.353100626865935,24.200412329010348,24.05830106593525,23.929967756691966,23.81761004852637,23.725886758184053,23.66300303466403,23.66518881276812,23.769000319666052,23.900865543634385,24.096902750936582,24.748357054218932,24.748357054218932,24.748357054218932,24.53875001924105,24.737794223684514,24.655621164929777,24.50773273650215,24.353100626865935,23.900865543634385
2009_06,27.252738681348518,27.720163070264753,27.722808456776647,27.720163070264753,28.31201060949726,28.13118880284162,27.443700202293464,28.488958240572323,28.18014804817449,28.182802322946966,28.291436510587396,27.83160421881168,28.33510430847733,27.991225206052405,27.874714077140954,28.239524407817207,28.006037478791296,28.67541428300494,28.124479493464115,27.6824438671152,27.402116328865006,27.51507241491876,27.845791158181754,28.40872395469295,27.833893762391806,27.241710062442934,26.931236821946094,26.966742660279518,27.79567496321997,28.622206746747356,28.095669228553607,27.3599763820711,26.951992028169364,27.2870601536694,27.334682793089247,27.79567496321997,28.15278794703945,27.791029505285,27.020214774577106,26.911430133354877,27.432906824192376,27.66998501623269,27.66998501623269,27.92766742901636,27.59959076045016,27.001953746408322,26.896520750374783,27.097203035220975,27.545343973128666,27.79661881624557,27.7934471575614,27.5293126512155,27.253545838583705,27.212124631763007,27.248879214869437,27.523793974005653,28.18782523232677,27.75282407047261,27.588507128917605,27.718193821046448,27.719068679090874,27.56259751325646,27.603996437827078,28.482777294156918,27.960511484968638,27.784831307668902,28.22811564723088,28.236862898901297,27.97964946048407,27.52149379163922,28.3476159940403,28.24278571620651,27.96014154626274,28.556794905930335,28.9,28.9,27.52149379163922,28.130965726047638,28.337285520530145,28.18466279232554,28.55325332768285,28.9,28.9,27.909234515048787,28.3244183877951,28.289995634090346,28.357504395480206,28.632500734832696,28.16638393356252,27.729008823267986,28.163081454828767,28.24717492707319,28.101000881391478,28.024487419312685,27.165651448709845,27.60754096310371,28.02145456183178,28.089083412440477,27.856936314840127,27.576572029502657,26.96007531035905,27.15446221872337,27.54684832709352,27.90473167919406,27.95067809213264,27.686082358775163,27.36227248834321,28.25170024813477,27.14072359480031,27.275814654201422,27.537724383673233,27.76577938057094,27.82126568679437,27.608966460035745,27.514403185655993,28.160574629234624,27.95683377400165,27.751286223844108,27.54300821671078,27.300508758955797,27.376509593004798,27.46844587427186,27.569832413157563,27.647267492138084,27.701782817518485,27.6483143717954,28.9,28.138217979290634,27.977707138106965,27.829193445492457,27.68753910099705,27.551748311898763,27.423983502725974,27.30691763497906,27.216744306647975,27.170942344496577,27.204357357997544,27.418230114863867,27.603409326600538,27.60470058224893,27.763389992604402,28.9,28.9,28.32677163919967,28.138217979290634,27.977707138106965,27.829193445492457,27.68753910099705,27.551748311898763,27.423983502725974,27.30691763497906,27.216744306647975,27.170942344496577,27.204357357997544,27.418230114863867,27.603409326600538,27.60470058224893,27.763389992604402,28.9,28.9,28.9,28.32677163919967,28.138217979290634,27.977707138106965,27.829193445492457,27.68753910099705,27.60470058224893
2009_07,29.027298454718125,29.053917383904306,29.38884748175466,29.053917383904306,29.83897512274246,29.60855960343023,28.84909607989995,29.639770126964763,29.61468688341268,29.470336631500377,29.050335006037415,28.421647234024626,29.411384282112735,29.276211584067276,28.89435568148897,28.5924579922017,28.438284349163137,29.402877162549174,29.07461124547788,28.72231212176344,28.105796136399732,27.858907822609133,28.438284349163137,29.013392457468253,28.57645752308193,27.977136781151568,27.376679665634157,27.825344596235425,27.825344596235425,28.775036601278195,28.538992508777103,27.85405977816156,27.351632625583242,27.23011501508287,28.108744457962995,28.108744457962995,28.49436950591551,28.044512999570756,27.333052257094998,27.003887864597534,27.392252878411274,28.177249741305268,28.177249741305268,28.08481353764385,27.719386173289415,27.105742962882978,26.90116334253529,27.406401170048433,28.067573282938632,28.219386791393223,27.751181181717854,27.555380599395882,27.154540719927045,27.016172644757923,27.322253360206933,27.869345431039612,28.267060266313294,27.822965430577387,27.655212490670348,27.489144203634453,27.34104819335136,27.371229268391698,28.086551693477233,28.52911364835339,28.580411573436336,28.172897065173025,28.03542681640071,27.76254354902188,27.58146055118024,28.086551693477233,28.568633910866957,29.578045360125184,29.243329273328897,28.23354676171945,27.72385425917446,27.468258557306807,27.468258557306807,28.471723477236992,28.676372333391814,30.1,28.00098219096587,27.112186454435935,27.276415486547183,28.317306881527095,28.662092614284262,29.074251976237484,26.65798147412113,26.6,27.065063678917326,28.168525639328514,28.587651242461824,27.506806053268207,26.6,26.6,27.243660174283846,28.07525036012877,28.55621768286162,27.990252740384356,27.024021008501503,27.381623516658426,26.658098655922185,27.094191940792143,27.845951747909556,28.305333282000273,27.935432899460498,27.849904973513283,27.891046807980114,27.6368761753542,26.701609756252836,27.009612697431322,27.51616173683891,27.85223637310274,27.719895602022618,28.10994116548975,28.06005747322946,27.713244842170162,27.354180621651636,27.03938604404535,26.787510874249897,26.6,26.732747754120123,26.933332317425943,27.18162269245615,27.314199188529244,27.42477188389226,27.93480944430935,28.26530035233523,27.897738538676624,27.70197109874229,27.510706149823243,27.31183523237308,27.096700005979425,26.8707174009405,26.64027858672942,26.6,26.6,26.6,26.70631723682619,27.00668412164343,27.092007307093116,27.584240759257536,28.26530035233523,28.26530035233523,27.77069207540247,27.897738538676624,27.70197109874229,27.510706149823243,27.31183523237308,27.096700005979425,26.8707174009405,26.64027858672942,26.6,26.6,26.6,26.70631723682619,27.00668412164343,27.092007307093116,27.584240759257536,28.26530035233523,28.26530035233523,28.26530035233523,27.77069207540247,27.897738538676624,27.70197109874229,27.510706149823243,27.31183523237308,27.092007307093116
2009_08,29.08751365994901,29.250020535698038,29.425260834475676,29.250020535698038,29.84087844742718,29.666352294975752,29.14790733967728,29.68240468956783,29.700093256456263,29.67307484164761,29.438185171098183,28.982300897661784,29.479307222459582,29.47358869086052,29.406518204151528,29.315113048840786,29.290202012679302,29.577529293431333,29.205994215852016,29.109158339989406,28.98892734758389,29.029616434925664,29.331134882262912,29.19830226456551,28.83656335036304,28.51006134279795,28.507315446565194,28.653637516770925,29.137640938733416,29.9,28.804337163705323,28.249852306458703,28.01011054405507,28.054559652072015,28.245659735811607,29.137640938733416,29.059667193200482,28.409739475695964,27.87113873418739,27.72308936514416,27.845833525521105,28.16139411107649,28.16139411107649,28.49721988063719,28.142461781978973,27.757108172956194,27.68820461559621,27.89344530196501,28.32481056685098,28.24710624108273,28.07527792965357,28.001088780122302,27.934894737498563,27.902427269436128,27.832660011608972,28.2572355748144,28.532248260826535,28.064167608990086,28.110550123909793,28.421947705917464,28.330767711671974,28.032531062981327,28.14124313989044,29.024010953754384,28.886751618935744,28.663865595310202,29.113308959561724,28.91527274991214,28.411575836628902,28.334225768447766,29.08981300660468,29.9,29.77689887240204,29.500680587390097,29.9,29.608590508184225,28.334225768447766,28.96886078201022,29.032910668352393,29.9,29.32225473249401,29.9,29.9,28.7684932452649,29.043917961298384,29.382706333291445,28.21881249066719,29.31183156908134,28.812310659823602,28.5614350474939,29.012709516872647,27.89216491948701,26.71354509446094,28.480418066061475,27.313429087578317,28.26123657686992,28.904010988927926,28.37810684558162,27.440050227442025,28.066597423761895,26.7,26.92105946306873,27.579934160259366,28.424188118710653,28.327167916142873,28.04700288492103,27.748124123765887,27.345992685655876,26.7,26.7,27.02022077119584,27.684905557138826,28.04122491639327,28.13483600209587,27.590037325014237,27.35706308251403,27.1790718473611,26.992775510056564,26.807371713258256,26.7,26.7,26.7,26.752646328000687,27.098768586586004,27.631355567557726,27.878427780449925,27.354799154465404,27.354672751658033,27.33636201494879,27.291495305749343,27.218822685026574,27.117602784486486,26.991398487983773,26.844499094845172,26.705051435218593,26.7,26.7,26.7,26.83222180404126,27.208062017365712,27.497069704209153,27.354799154465404,27.354799154465404,27.198308679339178,27.354672751658033,27.33636201494879,27.291495305749343,27.218822685026574,27.117602784486486,26.991398487983773,26.844499094845172,26.705051435218593,26.7,26.7,26.7,26.83222180404126,27.208062017365712,27.497069704209153,27.354799154465404,27.354799154465404,27.354799154465404,27.198308679339178,27.354672751658033,27.33636201494879,27.291495305749343,27.218822685026574,27.208062017365712
2009_09,29.036999785647847,28.710433406439456,29.3,28.710433406439456,29.3,29.3,28.717809717055175,29.3,29.3,29.297081363987942,28.408826036487824,28.35874421730136,29.3,29.3,28.62419562845448,27.721133543332172,28.115816287992047,29.3,29.025701420952636,28.668401705956107,27.729720538381528,27.20559898663747,27.860373094197584,28.875468959236983,28.426781262284763,27.84276309898405,26.95892678065229,26.972325077302326,27.607268196927237,29.3,28.331437931654758,27.57574934304006,27.180894260776025,27.176593718927933,27.411605546451636,27.607268196927237,28.504599608255504,27.764110833077073,27.010279542825312,26.909182778759366,27.356806158358403,27.648370650604928,27.648370650604928,27.819336427368064,27.37809659812254,26.800076547659877,26.817205093624867,27.226060684132474,27.68379390968088,27.619745076165547,27.29542706812865,27.153966072536832,26.90214588526751,26.983252792725402,27.115005665215524,27.638081233575786,27.854363692627512,27.270170905655178,27.23162553447318,27.32415655068482,27.32389376989859,27.215219040566097,27.416343038250663,28.340392359039278,28.19223636432678,27.823294686519535,27.95213794356087,27.732877061236678,27.371798841373298,27.40200805392286,28.448323236183963,29.3,29.176863181145745,28.327508973815096,28.093581213788283,27.620194999667767,27.40200805392286,28.318445276813694,27.967821866218056,29.3,28.328411797290677,28.298345771331814,27.706822494001877,28.07071230024316,27.901556136713847,28.565283496594837,27.26570130749501,28.25424365373943,26.949721277517835,27.81938602916038,27.974451446257266,26.82829573803138,25.915286234899263,27.959354405367183,26.90085714801855,27.584609647184244,28.108499728903734,27.886123133669518,27.5989267945385,27.985735907443317,26.184063441087737,26.36393501819356,26.913224345629832,27.715381236233945,27.93395108404731,28.838797919091697,27.730180038859526,26.57743433838566,25.84601427561409,25.778961428938356,26.04377324809433,26.825268757707054,27.492187798090693,28.864068989452498,27.63820525329056,26.757905782159764,26.645205550149043,26.48358220076952,26.28592552270566,25.692809715120912,25.6,25.6,25.6,25.78242432393787,26.715793587871314,27.947451512140248,26.84533414122191,26.75545638231006,26.814781496554968,26.7944984578809,26.65412614476798,26.386099411707562,26.009750917652408,25.6,25.6,25.6,25.6,25.6,25.6,25.69913750970313,26.74623100136865,26.84533414122191,26.84533414122191,26.360202488067294,26.75545638231006,26.814781496554968,26.7944984578809,26.65412614476798,26.386099411707562,26.009750917652408,25.6,25.6,25.6,25.6,25.6,25.6,25.69913750970313,26.74623100136865,26.84533414122191,26.84533414122191,26.84533414122191,26.360202488067294,26.75545638231006,26.814781496554968,26.7944984578809,26.65412614476798,25.69913750970313
2009_10,26.90717906070674,27.06710435196507,27.389485256843656,27.06710435196507,28.275854741436547,27.82803424517111,26.777406198030793,27.849091772720186,27.892568476736407,27.72587809912529,27.332506025930748,27.212842311974747,27.462688562879443,27.36070418653947,26.94445730330584,26.77872160424419,27.177531535158614,27.395887726489043,26.949763670402348,26.60839516178522,25.881040915132733,25.760009481878214,26.955182126558043,26.79677341675449,26.261775209948354,25.730543211419818,24.932318363241926,25.288328992980585,26.955182126558043,27.612352048295246,26.148044482407325,25.378522024616704,25.047391444363203,25.173415623004132,25.64387422972475,25.64387422972475,26.25690290013096,25.508655725241127,24.77960087071672,24.751697245649673,25.34525678943723,25.810242260960177,25.810242260960177,25.427867890137723,25.079659999513826,24.548443893211164,24.623110312873845,25.09874724660118,25.731152165981175,25.10892632894369,24.78330075760246,24.827520218312888,24.667066462123742,24.787395393029925,24.968027974545908,25.626905014703823,25.259483870033193,24.792253400765834,24.938172579347967,25.142391191666945,25.159152195583072,25.087822117931356,25.396654652691538,25.782906660460128,26.01384497007049,25.690857700278876,25.862797783669333,25.647748778604015,25.313104293013204,25.396654652691538,25.845798141159086,27.48197781959664,27.463606639568475,26.075580423301638,25.89419032279196,25.54741131425287,25.54741131425287,25.628973400637335,25.809054464748456,28.5,25.821130553218033,25.79526336842838,25.675970162628726,25.267107108472757,25.630990306174517,26.347197914743617,24.140958899460518,25.419428079467075,25.207477636271935,24.87785376429639,25.385031182155807,23.548416784177103,21.631883308271938,24.81946539923173,23.366674346923286,24.57187364279359,25.222060893555646,24.20465526616029,22.902780629786136,24.605000212713048,22.345981010406156,22.906372054134085,24.016942969069945,24.682316344021256,24.125101103827696,24.042082813821693,24.591458231951588,22.944588593648554,22.221971980745312,22.509130496741765,23.269139234187726,23.850547788062645,23.80165260840075,24.3344783352085,24.751103149683278,23.048915795966252,22.91134666035017,22.732926747950167,22.53492644165847,22.096670366987027,22.00005838961531,22.1039904642149,22.506064517968912,22.92360821301106,23.29337609076951,24.11065250910481,22.35705436778236,22.811682663692896,22.98244182272425,23.06486198519392,23.020900950289246,22.84084306497394,22.54397297416503,22.15303999517272,21.7915062027959,21.613582489309323,21.701381305749297,21.76548397550062,22.17230084913299,22.638147872935885,23.65951022101525,22.35705436778236,22.35705436778236,22.128669997386986,22.811682663692896,22.98244182272425,23.06486198519392,23.020900950289246,22.84084306497394,22.54397297416503,22.15303999517272,21.7915062027959,21.613582489309323,21.701381305749297,21.76548397550062,22.17230084913299,22.638147872935885,23.65951022101525,22.35705436778236,22.35705436778236,22.35705436778236,22.128669997386986,22.811682663692896,22.98244182272425,23.06486198519392,23.020900950289246,22.638147872935885
